=== 지오코딩 실패 항목 리스트 (주소 검색 기준) ===
시도 횟수: 8724건 / 성공: 1264건 / 실패: 7460건
--------------------------------------------------------------------------------
행 0 | 도로명: 서울특별시 은평구 증산로3길 20 | 지번: nan | 사유: 검색 결과 없음
행 1886 | 도로명: 서울특별시 종로구 돈화문로11가길59 | 지번: 서울특별시 종로구 익선동 55 | 사유: 검색 결과 없음
행 1887 | 도로명: 서울특별시 종로구 돈화문로11가길59 | 지번: 서울특별시 종로구 익선동 55 | 사유: 검색 결과 없음
행 1888 | 도로명: 서울특별시 종로구 돈화문로11가길59 | 지번: 서울특별시 종로구 익선동 55 | 사유: 검색 결과 없음
행 1889 | 도로명: 서울특별시 종로구 돈화문로11가길59 | 지번: 서울특별시 종로구 익선동 55 | 사유: 검색 결과 없음
행 1890 | 도로명: 서울특별시 종로구 돈화문로11가길59 | 지번: 서울특별시 종로구 익선동 102-1 | 사유: 검색 결과 없음
행 1891 | 도로명: 서울특별시 종로구 돈화문로11가길65 | 지번: 서울특별시 종로구 익선동 58-1 | 사유: 검색 결과 없음
행 1892 | 도로명: 서울특별시 종로구 돈화문로11가길73 | 지번: 서울특별시 종로구 와룡동 159-2 | 사유: 검색 결과 없음
행 1893 | 도로명: 서울특별시 종로구 돈화문로11가길77-5 | 지번: 서울특별시 종로구 운니동 50 | 사유: 검색 결과 없음
행 1894 | 도로명: 서울특별시 종로구 돈화문로11가길83-8 | 지번: 서울특별시 종로구 운니동 26-2 | 사유: 검색 결과 없음
행 1895 | 도로명: 서울특별시 종로구 돈화문로11가길89 | 지번: 서울특별시 종로구 와룡동 137 | 사유: 검색 결과 없음
행 1896 | 도로명: 서울특별시 종로구 돈화문로11가길99 | 지번: 서울특별시 종로구 와룡동 14-5 | 사유: 검색 결과 없음
행 1897 | 도로명: 서울특별시 종로구 돈화문로11가길99-7 | 지번: 서울특별시 종로구 운니동 23-1 | 사유: 검색 결과 없음
행 1898 | 도로명: 서울특별시 종로구 돈화문로11길16 | 지번: 서울특별시 종로구 돈의동 1-9 | 사유: 검색 결과 없음
행 1899 | 도로명: 서울특별시 종로구 돈화문로11길18 | 지번: 서울특별시 종로구 돈의동 1-9 | 사유: 검색 결과 없음
행 1900 | 도로명: 서울특별시 종로구 돈화문로11길18 | 지번: 서울특별시 종로구 돈의동 44-1 | 사유: 검색 결과 없음
행 1901 | 도로명: 서울특별시 종로구 돈화문로11길22 | 지번: 서울특별시 종로구 돈의동 43-2 | 사유: 검색 결과 없음
행 1902 | 도로명: 서울특별시 종로구 돈화문로11길26 | 지번: 서울특별시 종로구 돈의동 1-9 | 사유: 검색 결과 없음
행 1903 | 도로명: 서울특별시 종로구 돈화문로11길26 | 지번: 서울특별시 종로구 돈의동 37 | 사유: 검색 결과 없음
행 1904 | 도로명: 서울특별시 종로구 돈화문로11길31-1 | 지번: 서울특별시 종로구 돈의동 103-2 | 사유: 검색 결과 없음
행 1905 | 도로명: 서울특별시 종로구 돈화문로11길38 | 지번: 서울특별시 종로구 낙원동 119-2 | 사유: 검색 결과 없음
행 1906 | 도로명: 서울특별시 종로구 돈화문로11길38 | 지번: 서울특별시 종로구 낙원동 90-1 | 사유: 검색 결과 없음
행 1907 | 도로명: 서울특별시 종로구 돈화문로11길39-3 | 지번: 서울특별시 종로구 돈의동 62 | 사유: 검색 결과 없음
행 1908 | 도로명: 서울특별시 종로구 돈화문로11길39-3 | 지번: 서울특별시 종로구 돈의동 103-8 | 사유: 검색 결과 없음
행 1909 | 도로명: 서울특별시 종로구 돈화문로11길44 | 지번: 서울특별시 종로구 낙원동 90-1 | 사유: 검색 결과 없음
행 1910 | 도로명: 서울특별시 종로구 돈화문로11길8-1 | 지번: 서울특별시 종로구 돈의동 51 | 사유: 검색 결과 없음
행 1911 | 도로명: 서울특별시 종로구 돈화문로11나길24 | 지번: 서울특별시 종로구 익선동 154-9 | 사유: 검색 결과 없음
행 1912 | 도로명: 서울특별시 종로구 돈화문로11나길25 | 지번: 서울특별시 종로구 익선동 34-10 | 사유: 검색 결과 없음
행 1913 | 도로명: 서울특별시 종로구 돈화문로11나길26-2 | 지번: 서울특별시 종로구 익선동 154-4 | 사유: 검색 결과 없음
행 1914 | 도로명: 서울특별시 종로구 돈화문로11나길26-6 | 지번: 서울특별시 종로구 익선동 102-1 | 사유: 검색 결과 없음
행 1915 | 도로명: 서울특별시 종로구 돈화문로11나길28-1 | 지번: 서울특별시 종로구 익선동 120 | 사유: 검색 결과 없음
행 1916 | 도로명: 서울특별시 종로구 돈화문로11나길3 | 지번: 서울특별시 종로구 돈의동 8 | 사유: 검색 결과 없음
행 1917 | 도로명: 서울특별시 종로구 돈화문로11나길30 | 지번: 서울특별시 종로구 익선동 121 | 사유: 검색 결과 없음
행 1918 | 도로명: 서울특별시 종로구 돈화문로11나길31-14 | 지번: 서울특별시 종로구 익선동 135 | 사유: 검색 결과 없음
행 1919 | 도로명: 서울특별시 종로구 돈화문로11나길31-17 | 지번: 서울특별시 종로구 익선동 142-4 | 사유: 검색 결과 없음
행 1920 | 도로명: 서울특별시 종로구 돈화문로11나길31-19 | 지번: 서울특별시 종로구 익선동 141 | 사유: 검색 결과 없음
행 1921 | 도로명: 서울특별시 종로구 돈화문로11나길31-3 | 지번: 서울특별시 종로구 익선동 146 | 사유: 검색 결과 없음
행 1922 | 도로명: 서울특별시 종로구 돈화문로11나길32-1 | 지번: 서울특별시 종로구 익선동 118 | 사유: 검색 결과 없음
행 1923 | 도로명: 서울특별시 종로구 돈화문로11나길5 | 지번: 서울특별시 종로구 돈의동 53-1 | 사유: 검색 결과 없음
행 1924 | 도로명: 서울특별시 종로구 돈화문로11나길58 | 지번: 서울특별시 종로구 익선동 28-2 | 사유: 검색 결과 없음
행 1925 | 도로명: 서울특별시 종로구 돈화문로11나길62 | 지번: 서울특별시 종로구 익선동 27 | 사유: 검색 결과 없음
행 1926 | 도로명: 서울특별시 종로구 돈화문로11나길66 | 지번: 서울특별시 종로구 익선동 2-1 | 사유: 검색 결과 없음
행 1927 | 도로명: 서울특별시 종로구 돈화문로11나길66 | 지번: 서울특별시 종로구 익선동 21 | 사유: 검색 결과 없음
행 1928 | 도로명: 서울특별시 종로구 돈화문로11다길-26 | 지번: 서울특별시 종로구 익선동 164-1 | 사유: 검색 결과 없음
행 1929 | 도로명: 서울특별시 종로구 돈화문로11다길14-2 | 지번: 서울특별시 종로구 돈의동 49-1 | 사유: 검색 결과 없음
행 1930 | 도로명: 서울특별시 종로구 돈화문로11다길15 | 지번: 서울특별시 종로구 돈의동 18 | 사유: 검색 결과 없음
행 1931 | 도로명: 서울특별시 종로구 돈화문로11다길22 | 지번: 서울특별시 종로구 익선동 161-2 | 사유: 검색 결과 없음
행 1932 | 도로명: 서울특별시 종로구 돈화문로11다길26 | 지번: 서울특별시 종로구 익선동 164-1 | 사유: 검색 결과 없음
행 1933 | 도로명: 서울특별시 종로구 돈화문로11다길26 | 지번: 서울특별시 종로구 익선동 164-1 | 사유: 검색 결과 없음
행 1934 | 도로명: 서울특별시 종로구 돈화문로11다길26 | 지번: 서울특별시 종로구 익선동 164-1 | 사유: 검색 결과 없음
행 1935 | 도로명: 서울특별시 종로구 돈화문로11다길30 | 지번: 서울특별시 종로구 익선동 165 | 사유: 검색 결과 없음
행 1936 | 도로명: 서울특별시 종로구 돈화문로11다길34 | 지번: 서울특별시 종로구 익선동 166-19 | 사유: 검색 결과 없음
행 1937 | 도로명: 서울특별시 종로구 돈화문로11다길38 | 지번: 서울특별시 종로구 익선동 166-17 | 사유: 검색 결과 없음
행 1938 | 도로명: 서울특별시 종로구 돈화문로11다길42 | 지번: 서울특별시 종로구 익선동 166-15 | 사유: 검색 결과 없음
행 1939 | 도로명: 서울특별시 종로구 돈화문로11다길51 | 지번: 서울특별시 종로구 낙원동 82-3 | 사유: 검색 결과 없음
행 1940 | 도로명: 서울특별시 종로구 돈화문로11다길9 | 지번: 서울특별시 종로구 돈의동 19 | 사유: 검색 결과 없음
행 1941 | 도로명: 서울특별시 종로구 돈화문로25 | 지번: 서울특별시 종로구 종로3가 24-1 | 사유: 검색 결과 없음
행 1942 | 도로명: 서울특별시 종로구 돈화문로28 | 지번: 서울특별시 종로구 묘동 59-5 | 사유: 검색 결과 없음
행 1943 | 도로명: 서울특별시 종로구 돈화문로29 | 지번: 서울특별시 종로구 묘동 202 | 사유: 검색 결과 없음
행 1944 | 도로명: 서울특별시 종로구 돈화문로29-1 | 지번: 서울특별시 종로구 묘동 20-3 | 사유: 검색 결과 없음
행 1945 | 도로명: 서울특별시 종로구 돈화문로29-1 | 지번: 서울특별시 종로구 묘동 200 | 사유: 검색 결과 없음
행 1946 | 도로명: 서울특별시 종로구 돈화문로2길14 | 지번: 서울특별시 종로구 장사동 47-1 | 사유: 검색 결과 없음
행 1947 | 도로명: 서울특별시 종로구 돈화문로2길14 | 지번: 서울특별시 종로구 장사동 47-1 | 사유: 검색 결과 없음
행 1948 | 도로명: 서울특별시 종로구 돈화문로2길14 | 지번: 서울특별시 종로구 장사동 47-1 | 사유: 검색 결과 없음
행 1949 | 도로명: 서울특별시 종로구 돈화문로2길24 | 지번: 서울특별시 종로구 장사동 198 | 사유: 검색 결과 없음
행 1950 | 도로명: 서울특별시 종로구 돈화문로2길25 | 지번: 서울특별시 종로구 장사동 72-8 | 사유: 검색 결과 없음
행 1951 | 도로명: 서울특별시 종로구 돈화문로2길28 | 지번: 서울특별시 종로구 장사동 197 | 사유: 검색 결과 없음
행 1952 | 도로명: 서울특별시 종로구 돈화문로2길37 | 지번: 서울특별시 종로구 장사동 100 | 사유: 검색 결과 없음
행 1953 | 도로명: 서울특별시 종로구 돈화문로2길38 | 지번: 서울특별시 종로구 장사동 181-1 | 사유: 검색 결과 없음
행 1954 | 도로명: 서울특별시 종로구 돈화문로2길5 | 지번: 서울특별시 종로구 장사동 42 | 사유: 검색 결과 없음
행 1955 | 도로명: 서울특별시 종로구 돈화문로2길5 | 지번: 서울특별시 종로구 장사동 42 | 사유: 검색 결과 없음
행 1956 | 도로명: 서울특별시 종로구 돈화문로2길6-1 | 지번: 서울특별시 종로구 장사동 226-11 | 사유: 검색 결과 없음
행 1957 | 도로명: 서울특별시 종로구 돈화문로2길8-2 | 지번: 서울특별시 종로구 장사동 226-12 | 사유: 검색 결과 없음
행 1958 | 도로명: 서울특별시 종로구 돈화문로35-1 | 지번: 서울특별시 종로구 묘동 190-1 | 사유: 검색 결과 없음
행 1959 | 도로명: 서울특별시 종로구 돈화문로45 | 지번: 서울특별시 종로구 묘동 175 | 사유: 검색 결과 없음
행 1960 | 도로명: 서울특별시 종로구 돈화문로47 | 지번: 서울특별시 종로구 묘동 167 | 사유: 검색 결과 없음
행 1961 | 도로명: 서울특별시 종로구 돈화문로48 | 지번: 서울특별시 종로구 묘동 102-1 | 사유: 검색 결과 없음
행 1962 | 도로명: 서울특별시 종로구 돈화문로4길12 | 지번: 서울특별시 종로구 장사동 28 | 사유: 검색 결과 없음
행 1963 | 도로명: 서울특별시 종로구 돈화문로4길24 | 지번: 서울특별시 종로구 장사동 60 | 사유: 검색 결과 없음
행 1964 | 도로명: 서울특별시 종로구 돈화문로4길3 | 지번: 서울특별시 종로구 종로3가 140-2 | 사유: 검색 결과 없음
행 1965 | 도로명: 서울특별시 종로구 돈화문로4길30 | 지번: 서울특별시 종로구 장사동 80 | 사유: 검색 결과 없음
행 1966 | 도로명: 서울특별시 종로구 돈화문로4길33 | 지번: 서울특별시 종로구 종로3가 162 | 사유: 검색 결과 없음
행 1967 | 도로명: 서울특별시 종로구 돈화문로4길36 | 지번: 서울특별시 종로구 장사동 84-1 | 사유: 검색 결과 없음
행 1968 | 도로명: 서울특별시 종로구 돈화문로4길39 | 지번: 서울특별시 종로구 종로3가 167 | 사유: 검색 결과 없음
행 1969 | 도로명: 서울특별시 종로구 돈화문로4길4 | 지번: 서울특별시 종로구 장사동 26-1 | 사유: 검색 결과 없음
행 1970 | 도로명: 서울특별시 종로구 돈화문로4길9 | 지번: 서울특별시 종로구 종로3가 142 | 사유: 검색 결과 없음
행 1971 | 도로명: 서울특별시 종로구 돈화문로5-1 | 지번: 서울특별시 종로구 관수동 86-1 | 사유: 검색 결과 없음
행 1972 | 도로명: 서울특별시 종로구 돈화문로5-5 | 지번: 서울특별시 종로구 관수동 87 | 사유: 검색 결과 없음
행 1973 | 도로명: 서울특별시 종로구 돈화문로5-5 | 지번: 서울특별시 종로구 관수동 87 | 사유: 검색 결과 없음
행 1974 | 도로명: 서울특별시 종로구 돈화문로51 | 지번: 서울특별시 종로구 묘동 162-1 | 사유: 검색 결과 없음
행 1975 | 도로명: 서울특별시 종로구 돈화문로51-1 | 지번: 서울특별시 종로구 묘동 161-1 | 사유: 검색 결과 없음
행 1976 | 도로명: 서울특별시 종로구 돈화문로53-2 | 지번: 서울특별시 종로구 묘동 157-1 | 사유: 검색 결과 없음
행 1977 | 도로명: 서울특별시 종로구 돈화문로53-2 | 지번: 서울특별시 종로구 묘동 157-1 | 사유: 검색 결과 없음
행 1978 | 도로명: 서울특별시 종로구 돈화문로56-1 | 지번: 서울특별시 종로구 묘동 121 | 사유: 검색 결과 없음
행 1979 | 도로명: 서울특별시 종로구 돈화문로59 | 지번: 서울특별시 종로구 묘동 148-1 | 사유: 검색 결과 없음
행 1980 | 도로명: 서울특별시 종로구 돈화문로5가길1 | 지번: 서울특별시 종로구 돈의동 137 | 사유: 검색 결과 없음
행 1981 | 도로명: 서울특별시 종로구 돈화문로5가길13-1 | 지번: 서울특별시 종로구 돈의동 128-2 | 사유: 검색 결과 없음
행 1982 | 도로명: 서울특별시 종로구 돈화문로5가길15 | 지번: 서울특별시 종로구 돈의동 138-4 | 사유: 검색 결과 없음
행 1983 | 도로명: 서울특별시 종로구 돈화문로5가길17-3 | 지번: 서울특별시 종로구 돈의동 124 | 사유: 검색 결과 없음
행 1984 | 도로명: 서울특별시 종로구 돈화문로5가길23 | 지번: 서울특별시 종로구 돈의동 78-1 | 사유: 검색 결과 없음
행 1985 | 도로명: 서울특별시 종로구 돈화문로5길28-7 | 지번: 서울특별시 종로구 낙원동 192-1 | 사유: 검색 결과 없음
행 1986 | 도로명: 서울특별시 종로구 돈화문로60-2 | 지번: 서울특별시 종로구 묘동 130-1 | 사유: 검색 결과 없음
행 1987 | 도로명: 서울특별시 종로구 돈화문로61 | 지번: 서울특별시 종로구 묘동 141 | 사유: 검색 결과 없음
행 1988 | 도로명: 서울특별시 종로구 돈화문로61 | 지번: 서울특별시 종로구 묘동 141 | 사유: 검색 결과 없음
행 1989 | 도로명: 서울특별시 종로구 돈화문로63-1 | 지번: 서울특별시 종로구 묘동 139 | 사유: 검색 결과 없음
행 1990 | 도로명: 서울특별시 종로구 돈화문로64-4 | 지번: 서울특별시 종로구 묘동 134-1 | 사유: 검색 결과 없음
행 1991 | 도로명: 서울특별시 종로구 돈화문로66 | 지번: 서울특별시 종로구 와룡동 68 | 사유: 검색 결과 없음
행 1992 | 도로명: 서울특별시 종로구 돈화문로67 | 지번: 서울특별시 종로구 와룡동 171-1 | 사유: 검색 결과 없음
행 1993 | 도로명: 서울특별시 종로구 돈화문로69-1 | 지번: 서울특별시 종로구 와룡동 167-1 | 사유: 검색 결과 없음
행 1994 | 도로명: 서울특별시 종로구 돈화문로6가길12-4 | 지번: 서울특별시 종로구 와룡동 2-92 | 사유: 검색 결과 없음
행 1995 | 도로명: 서울특별시 종로구 돈화문로6가길12 | 지번: 서울특별시 종로구 봉익동 146 | 사유: 검색 결과 없음
행 1996 | 도로명: 서울특별시 종로구 돈화문로6가길12 | 지번: 서울특별시 종로구 봉익동 146 | 사유: 검색 결과 없음
행 1997 | 도로명: 서울특별시 종로구 돈화문로6가길16 | 지번: 서울특별시 종로구 봉익동 141-6 | 사유: 검색 결과 없음
행 1998 | 도로명: 서울특별시 종로구 돈화문로6가길2 | 지번: 서울특별시 종로구 봉익동 169 | 사유: 검색 결과 없음
행 1999 | 도로명: 서울특별시 종로구 돈화문로6가길20 | 지번: 서울특별시 종로구 봉익동 60-1 | 사유: 검색 결과 없음
행 2000 | 도로명: 서울특별시 종로구 돈화문로6가길31 | 지번: 서울특별시 종로구 묘동 30-1 | 사유: 검색 결과 없음
행 2001 | 도로명: 서울특별시 종로구 돈화문로6가길32 | 지번: 서울특별시 종로구 봉익동 124-3 | 사유: 검색 결과 없음
행 2002 | 도로명: 서울특별시 종로구 돈화문로6가길35 | 지번: 서울특별시 종로구 묘동 26 | 사유: 검색 결과 없음
행 2003 | 도로명: 서울특별시 종로구 돈화문로6가길8 | 지번: 서울특별시 종로구 봉익동 153 | 사유: 검색 결과 없음
행 2004 | 도로명: 서울특별시 종로구 돈화문로6나길10 | 지번: 서울특별시 종로구 봉익동 96-2 | 사유: 검색 결과 없음
행 2005 | 도로명: 서울특별시 종로구 돈화문로6나길14-4 | 지번: 서울특별시 종로구 봉익동 99 | 사유: 검색 결과 없음
행 2006 | 도로명: 서울특별시 종로구 돈화문로6나길22 | 지번: 서울특별시 종로구 봉익동 113 | 사유: 검색 결과 없음
행 2007 | 도로명: 서울특별시 종로구 돈화문로6나길22 | 지번: 서울특별시 종로구 봉익동 111 | 사유: 검색 결과 없음
행 2008 | 도로명: 서울특별시 종로구 돈화문로6나길25 | 지번: 서울특별시 종로구 봉익동 136 | 사유: 검색 결과 없음
행 2009 | 도로명: 서울특별시 종로구 돈화문로6나길25 | 지번: 서울특별시 종로구 봉익동 60-1 | 사유: 검색 결과 없음
행 2010 | 도로명: 서울특별시 종로구 돈화문로6나길25 | 지번: 서울특별시 종로구 봉익동 138-1 | 사유: 검색 결과 없음
행 2011 | 도로명: 서울특별시 종로구 돈화문로6나길28-5 | 지번: 서울특별시 종로구 봉익동 120-1 | 사유: 검색 결과 없음
행 2012 | 도로명: 서울특별시 종로구 돈화문로6나길36 | 지번: 서울특별시 종로구 봉익동 118-2 | 사유: 검색 결과 없음
행 2013 | 도로명: 서울특별시 종로구 돈화문로6나길6 | 지번: 서울특별시 종로구 봉익동 85 | 사유: 검색 결과 없음
행 2014 | 도로명: 서울특별시 종로구 돈화문로6나길8 | 지번: 서울특별시 종로구 봉익동 86 | 사유: 검색 결과 없음
행 2015 | 도로명: 서울특별시 종로구 돈화문로7 | 지번: 서울특별시 종로구 관수동 84 | 사유: 검색 결과 없음
행 2016 | 도로명: 서울특별시 종로구 돈화문로7-11 | 지번: 서울특별시 종로구 관수동 74 | 사유: 검색 결과 없음
행 2017 | 도로명: 서울특별시 종로구 돈화문로71 | 지번: 서울특별시 종로구 와룡동 164-2 | 사유: 검색 결과 없음
행 2018 | 도로명: 서울특별시 종로구 돈화문로81 | 지번: 서울특별시 종로구 와룡동 150 | 사유: 검색 결과 없음
행 2019 | 도로명: 서울특별시 종로구 돈화문로83-2 | 지번: 서울특별시 종로구 와룡동 143 | 사유: 검색 결과 없음
행 2020 | 도로명: 서울특별시 종로구 돈화문로85 | 지번: 서울특별시 종로구 와룡동 139-3 | 사유: 검색 결과 없음
행 2021 | 도로명: 서울특별시 종로구 돈화문로86-1 | 지번: 서울특별시 종로구 와룡동 139-2 | 사유: 검색 결과 없음
행 2022 | 도로명: 서울특별시 종로구 돈화문로89 | 지번: 서울특별시 종로구 와룡동 139 | 사유: 검색 결과 없음
행 2023 | 도로명: 서울특별시 종로구 돈화문로8길15 | 지번: 서울특별시 종로구 묘동 20-4 | 사유: 검색 결과 없음
행 2024 | 도로명: 서울특별시 종로구 돈화문로8길16 | 지번: 서울특별시 종로구 묘동 32 | 사유: 검색 결과 없음
행 2025 | 도로명: 서울특별시 종로구 돈화문로8길4-5 | 지번: 서울특별시 종로구 묘동 42 | 사유: 검색 결과 없음
행 2026 | 도로명: 서울특별시 종로구 돈화문로95 | 지번: 서울특별시 종로구 와룡동 131 | 사유: 검색 결과 없음
행 2027 | 도로명: 서울특별시 종로구 돈화문로96 | 지번: 서울특별시 종로구 와룡동 139-2 | 사유: 검색 결과 없음
행 2028 | 도로명: 서울특별시 종로구 돈화문로9가길10 | 지번: 서울특별시 종로구 돈의동 103-123 | 사유: 검색 결과 없음
행 2029 | 도로명: 서울특별시 종로구 돈화문로9가길10-1 | 지번: 서울특별시 종로구 돈의동 103-2 | 사유: 검색 결과 없음
행 2030 | 도로명: 서울특별시 종로구 돈화문로9가길11 | 지번: 서울특별시 종로구 돈의동 103-105 | 사유: 검색 결과 없음
행 2031 | 도로명: 서울특별시 종로구 돈화문로9가길13-13 | 지번: 서울특별시 종로구 돈의동 103-95 | 사유: 검색 결과 없음
행 2032 | 도로명: 서울특별시 종로구 돈화문로9가길13-3 | 지번: 서울특별시 종로구 돈의동 103-104 | 사유: 검색 결과 없음
행 2033 | 도로명: 서울특별시 종로구 돈화문로9가길13-3 | 지번: 서울특별시 종로구 돈의동 103-104 | 사유: 검색 결과 없음
행 2034 | 도로명: 서울특별시 종로구 돈화문로9가길13-9 | 지번: 서울특별시 종로구 돈의동 103-103 | 사유: 검색 결과 없음
행 2035 | 도로명: 서울특별시 종로구 돈화문로9가길15-1 | 지번: 서울특별시 종로구 돈의동 103-2 | 사유: 검색 결과 없음
행 2036 | 도로명: 서울특별시 종로구 돈화문로9가길15-10 | 지번: 서울특별시 종로구 돈의동 103-50 | 사유: 검색 결과 없음
행 2037 | 도로명: 서울특별시 종로구 돈화문로9가길15-7 | 지번: 서울특별시 종로구 돈의동 103-2 | 사유: 검색 결과 없음
행 2038 | 도로명: 서울특별시 종로구 돈화문로9가길19 | 지번: 서울특별시 종로구 돈의동 103-62 | 사유: 검색 결과 없음
행 2039 | 도로명: 서울특별시 종로구 돈화문로9가길19 | 지번: 서울특별시 종로구 돈의동 103-62 | 사유: 검색 결과 없음
행 2040 | 도로명: 서울특별시 종로구 돈화문로9가길2 | 지번: 서울특별시 종로구 돈의동 102 | 사유: 검색 결과 없음
행 2041 | 도로명: 서울특별시 종로구 돈화문로9가길2-1 | 지번: 서울특별시 종로구 돈의동 103-131 | 사유: 검색 결과 없음
행 2042 | 도로명: 서울특별시 종로구 돈화문로9가길24 | 지번: 서울특별시 종로구 돈의동 103-11 | 사유: 검색 결과 없음
행 2043 | 도로명: 서울특별시 종로구 돈화문로9가길28-1 | 지번: 서울특별시 종로구 돈의동 103-19 | 사유: 검색 결과 없음
행 2044 | 도로명: 서울특별시 종로구 돈화문로9가길32 | 지번: 서울특별시 종로구 돈의동 103-23 | 사유: 검색 결과 없음
행 2045 | 도로명: 서울특별시 종로구 돈화문로9가길33 | 지번: 서울특별시 종로구 돈의동 103-31 | 사유: 검색 결과 없음
행 2046 | 도로명: 서울특별시 종로구 돈화문로9가길36 | 지번: 서울특별시 종로구 돈의동 39-7 | 사유: 검색 결과 없음
행 2047 | 도로명: 서울특별시 종로구 돈화문로9가길5-15 | 지번: 서울특별시 종로구 돈의동 103-34 | 사유: 검색 결과 없음
행 2048 | 도로명: 서울특별시 종로구 돈화문로9가길5-5 | 지번: 서울특별시 종로구 돈의동 103-2 | 사유: 검색 결과 없음
행 2049 | 도로명: 서울특별시 종로구 돈화문로9가길5-7 | 지번: 서울특별시 종로구 돈의동 103-88 | 사유: 검색 결과 없음
행 2050 | 도로명: 서울특별시 종로구 돈화문로9가길6 | 지번: 서울특별시 종로구 돈의동 103-129 | 사유: 검색 결과 없음
행 2051 | 도로명: 서울특별시 종로구 돈화문로9길15 | 지번: 서울특별시 종로구 돈의동 96 | 사유: 검색 결과 없음
행 2052 | 도로명: 서울특별시 종로구 돈화문로9길15 | 지번: 서울특별시 종로구 돈의동 96 | 사유: 검색 결과 없음
행 2053 | 도로명: 서울특별시 종로구 돈화문로9길2 | 지번: 서울특별시 종로구 묘동 184 | 사유: 검색 결과 없음
행 2054 | 도로명: 서울특별시 종로구 돈화문로9길21 | 지번: 서울특별시 종로구 돈의동 83-2 | 사유: 검색 결과 없음
행 2055 | 도로명: 서울특별시 종로구 돈화문로9길21 | 지번: 서울특별시 종로구 돈의동 83-2 | 사유: 검색 결과 없음
행 2056 | 도로명: 서울특별시 종로구 돈화문로9길27 | 지번: 서울특별시 종로구 낙원동 158 | 사유: 검색 결과 없음
행 2057 | 도로명: 서울특별시 종로구 돈화문로9길32 | 지번: 서울특별시 종로구 낙원동 151 | 사유: 검색 결과 없음
행 2058 | 도로명: 서울특별시 종로구 돈화문로9길32 | 지번: 서울특별시 종로구 낙원동 151 | 사유: 검색 결과 없음
행 2059 | 도로명: 서울특별시 종로구 돈화문로9길38 | 지번: 서울특별시 종로구 낙원동 149 | 사유: 검색 결과 없음
행 2060 | 도로명: 서울특별시 종로구 돈화문로9길42 | 지번: 서울특별시 종로구 낙원동 147 | 사유: 검색 결과 없음
행 2061 | 도로명: 서울특별시 종로구 동순라길100 | 지번: 서울특별시 종로구 원남동 264-1 | 사유: 검색 결과 없음
행 2062 | 도로명: 서울특별시 종로구 동순라길102 | 지번: 서울특별시 종로구 원남동 264-1 | 사유: 검색 결과 없음
행 2063 | 도로명: 서울특별시 종로구 동순라길106-2 | 지번: 서울특별시 종로구 원남동 214-8 | 사유: 검색 결과 없음
행 2064 | 도로명: 서울특별시 종로구 동순라길108 | 지번: 서울특별시 종로구 원남동 264-1 | 사유: 검색 결과 없음
행 2065 | 도로명: 서울특별시 종로구 동순라길114 | 지번: 서울특별시 종로구 원남동 264-1 | 사유: 검색 결과 없음
행 2066 | 도로명: 서울특별시 종로구 동순라길122 | 지번: 서울특별시 종로구 원남동 151-12 | 사유: 검색 결과 없음
행 2067 | 도로명: 서울특별시 종로구 동순라길122 | 지번: 서울특별시 종로구 원남동 209 | 사유: 검색 결과 없음
행 2068 | 도로명: 서울특별시 종로구 동순라길126-2 | 지번: 서울특별시 종로구 원남동 151-12 | 사유: 검색 결과 없음
행 2069 | 도로명: 서울특별시 종로구 동순라길126-2 | 지번: 서울특별시 종로구 원남동 151-12 | 사유: 검색 결과 없음
행 2070 | 도로명: 서울특별시 종로구 동순라길126-3 | 지번: 서울특별시 종로구 원남동 151-12 | 사유: 검색 결과 없음
행 2071 | 도로명: 서울특별시 종로구 동순라길130 | 지번: 서울특별시 종로구 원남동 151-12 | 사유: 검색 결과 없음
행 2072 | 도로명: 서울특별시 종로구 동순라길54-6 | 지번: 서울특별시 종로구 인의동 103 | 사유: 검색 결과 없음
행 2073 | 도로명: 서울특별시 종로구 동순라길60-1 | 지번: 서울특별시 종로구 인의동 101-10 | 사유: 검색 결과 없음
행 2074 | 도로명: 서울특별시 종로구 동순라길60-10 | 지번: 서울특별시 종로구 인의동 97 | 사유: 검색 결과 없음
행 2075 | 도로명: 서울특별시 종로구 동순라길60-12 | 지번: 서울특별시 종로구 인의동 98-2 | 사유: 검색 결과 없음
행 2076 | 도로명: 서울특별시 종로구 동순라길60-13 | 지번: 서울특별시 종로구 인의동 101-9 | 사유: 검색 결과 없음
행 2077 | 도로명: 서울특별시 종로구 동순라길60-14 | 지번: 서울특별시 종로구 인의동 98-1 | 사유: 검색 결과 없음
행 2078 | 도로명: 서울특별시 종로구 동순라길60-6 | 지번: 서울특별시 종로구 인의동 97 | 사유: 검색 결과 없음
행 2079 | 도로명: 서울특별시 종로구 동순라길60-7 | 지번: 서울특별시 종로구 인의동 101-9 | 사유: 검색 결과 없음
행 2080 | 도로명: 서울특별시 종로구 동순라길78-18 | 지번: 서울특별시 종로구 인의동 57-5 | 사유: 검색 결과 없음
행 2081 | 도로명: 서울특별시 종로구 동순라길78-18 | 지번: 서울특별시 종로구 인의동 57-7 | 사유: 검색 결과 없음
행 2082 | 도로명: 서울특별시 종로구 동순라길78-6 | 지번: 서울특별시 종로구 인의동 50-3 | 사유: 검색 결과 없음
